Id,SalePrice
1461,125359.119
1462,159071.97600000002
1463,191124.52800000002
1464,205965.816
1465,193735.6245
1466,172750.75650000002
1467,181536.63450000001
1468,165769.48650000003
1469,181351.29600000003
1470,121468.99800000002
1471,194271.66900000002
1472,95989.497
1473,99380.99250000001
1474,146870.64750000002
1475,108743.223
1476,371746.74600000004
1477,255414.375
1478,287632.63200000004
1479,280382.5125
1480,506930.9205
1481,347723.52
1482,218017.677
1483,189242.13
1484,178297.31250000003
1485,190451.502
1486,199442.42250000002
1487,336961.104
1488,243459.708
1489,205814.8635
1490,245114.35050000003
1491,200006.505
1492,94257.588
1493,170779.66350000002
1494,287088.9465
1495,273019.6305
1496,240269.817
1497,188695.1865
1498,176835.3525
1499,170253.9975
1500,174199.82700000002
1501,184345.36650000003
1502,147240.50400000002
1503,277845.2265
1504,236582.7105
1505,228282.38700000002
1506,179257.299
1507,239945.5785
1508,211160.136
1509,158191.3335
1510,149098.33800000002
1511,152293.1925
1512,171096.30299999999
1513,141004.5105
1514,157073.1255
1515,190765.2195
1516,152022.40350000001
1517,167730.8205
1518,127244.511
1519,219747.99000000005
1520,136634.68050000002
1521,135860.8455
1522,170650.371
1523,122531.8125
1524,127761.5295
1525,118661.685
1526,110815.37700000001
1527,103214.73599999999
1528,137774.766
1529,158249.47950000002
1530,174444.04950000002
1531,109626.69000000002
1532,99920.77050000001
1533,148388.652
1534,128807.94600000001
1535,157009.7955
1536,113637.1125
1537,61291.803
1538,161582.42250000002
1539,194076.51450000002
1540,99697.48500000002
1541,136264.1985
1542,145338.5235
1543,201637.99349999998
1544,85164.69750000001
1545,112785.372
1546,140452.374
1547,142074.2985
1548,143203.40550000002
1549,124128.69
1550,141557.367
1551,111646.93950000002
1552,142041.96600000001
1553,162624.28650000002
1554,113076.08550000002
1555,165287.6715
1556,93523.638
1557,107825.565
1558,100758.3435
1559,81314.27850000001
1560,148951.84350000002
1561,128161.14900000002
1562,135957.8145
1563,120037.368
1564,159742.46250000002
1565,149485.0635
1566,233691.67200000002
1567,73048.785
1568,236816.14050000004
1569,151858.26150000002
1570,139456.779
1571,125274.4245
1572,146804.988
1573,228115.73100000003
1574,110518.6605
